,Title,Director,Cast,Genre,Date,Year
1743,Kasula Peru,C. Pullaiah,"K. Hanumantha Rao, Sundaramma, Srihari, Tulasamma",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930
1744,Krishna Jarasandha,"C. Narasimha Rao
","T. Ramakrishna Sastry, ",Mythology,"
",1930
1745,Mala Pilla,Gudavalli Ramabrahmam,Govindarajula Subba Rao,Social,"25 September 1938
",1930
1746,Mohini Basmasura,C. Pullaiah,Pushpavalli,Devotional,"
",1930
1747,Narada Samsaram,"
",,,"
",1930
1748,Satyanarayana Vratam,C. Pullaiah,"Kamaraju, Devarakonda Ramoorthi, Hymavathi, Laxminarasamma",Drama,"12 January 1938 [Other 2 Documentary Films released]
",1930
1749,Thukaram,"B. Narayana Rao
",C. S. R. Anjaneyulu,Drama,"
",1930
1750,Amma,"Niranjan Pal
",,,"
",1930
1751,Jayaprada,"Ch. Narasimha Rao
",C. S. R. Anjaneyulu,Devotional,"
",1930
1752,Mahananda,"China Kameswara Rao Dronamraju
","Adhanki Srirama Murthy, Parepalli Subba Rao, ",Devotional,"
",1930
1753,Malli Pelli,Y. V. Rao,Y. V. Rao,Social,"
",1930
1754,Panduranga Vittal,"B. V. Ramanandam
","Panchangam Ramanujachary, T. Chalapathi Rao, Dasari Kotiratnam, D. Satyanarayana, Kanthamani",Devotional,"
",1930
1755,Pasupathastram,"K. Ranga Rao
",K. Raghuramaiah,Devotional,"
",1930
1756,Mathru Bhoomi,H. M. Reddy,P. U. Chinnappa,Drama,"
",1930
1757,Radha Krishna,"
",,,"
",1930
1758,Raithu Bidda,Gudavalli Ramabrahmam,Bellary Raghava,Social,"27 August 1939
",1930
1759,"Sri Venkateswara Mahatyam (Also Known as ""Balaji"")",P. Pullaiah,C. S. R. Anjaneyulu,Devotional,"
",1930
1760,Vande Mataram,B. N. Reddy,Chittor V. Nagaiah,Social,"
",1930
1761,Vara Vikrayam,C. Pullaiah,Pushpavalli,Social,"
",1930
1762,Aada Janma,"G. R. Rao",C. H. Narayana Rao,"Drama",1951,1951
1763,Aakasa Raju,"Jyotish Sinha","Gowrinatha Sastri, ","Devotional",1951,1951
1764,Agni Pareeksha,"M. N. Ramana Rao",K. Raghuramaiah,"Social",1951,1951
1765,Chandravanka,"Jithen Banerjee",K. Raghuramaiah,"Folklore",1951,1951
1766,Deeksha,K. S. Prakash Rao,G. Varalakshmi,"Social",1951,1951
1767,Jeevitha Nouka,"K. Vembu",Thikkurissy Sukumaran Nair,"Social",1951,1951
1768,Malliswari,B. N. Reddy,N. T. Rama Rao,"Folklore",1951,1951
1769,Mangala,"Chandru",Ranjan,"Folklore",1951,1951
1770,Mantra Dandam,"K. S. Ramachandra Rao",A. Nageswara Rao,"Fantasy",1951,1951
1771,Marmayogi,K. Ramnoth,M. G. Ramachandran,"Action",1951,1951
1772,Maya Pilla,"R. Prakash",K. Raghuramaiah,"Folklore",1951,1951
1773,Mayalamari,"P. Sridhar",A. Nageswara Rao,"Fantasy",1951,1951
1774,Nirdoshi,H. M. Reddy,Anjali Devi,"Drama",1951,1951
1775,Pelli Kuthuru,N. S. Krishnan,S. V. Sahasranamam,"Social",1951,1951
1776,Penkipilla,"B. V. Ramanandam","Chandralekha, Duggirala Satyavathi, Alamuri Kumariratnam, Ammaji, Sundaramani","Drama",1951,1951
1777,Perantalu,"T. Gopichand",C. H. Narayana Rao,"Drama",1951,1951
1778,Rupavathi,"K. Prabhakar Rao",C. H. Narayana Rao,"Folklore",1951,1951
1779,Sarvadikari,T. R. Sundaram,M. G. Ramachandran,"Action",1951,1951
1780,Soudamini,K. B. Nagabhushanam,A. Nageswara Rao,"Adventure",1951,1951
1781,Stree Sahasam,Vedantam Raghavaiah,A. Nageswara Rao,"Fantasy",1951,1951
1782,Tilottama,"Raja of Mirzapur",A. Nageswara Rao,"Adventure",1951,1951
1783,Aadarsham,"H. V. Babu",Jaggayya,"Social",1952,1952
1784,Aakali,"K. J. Mohan Rao",Thikkurissy Sukumaran Nair,"Social
",1952,1952
1785,Athinti Kapuram,Acharya,M. N. Nambiar,"Drama
",1952,1952
1786,Chinna Kodalu,Ghantasala Balaramayya,C. H. Narayana Rao,"Social
",1952,1952
1787,Chinnamma Katha,S. V. S. Rama Rao,Govindarajula Subba Rao,"Social
",1952,1952
1788,Daasi,L. V. Prasad,N. T. Rama Rao,"Drama
",1952,1952
1789,Dharma Devatha,P. Pullaiah,P. Shanthakumari,"Drama
",1952,1952
1790,Kanchana,S. M. Sriramulu Naidu,K. R. Ramaswamy,"Social
",1952,1952
1791,Manavathi,Y. V. Rao,C. H. Narayana Rao,Devotional,1952,1952
1792,Maradalu Pelli,Mukkamala,Mukkamala,"Drama
",1952,1952
1793,Mugguru Kodukulu,R. Nagendra Rao,M. K. Radha,"Social
",1952,1952
1794,Palletooru,T. Prakash Rao,N. T. Rama Rao,"Social
",1952,1952
1795,Peda Raithu,K. B. Nagabhushanam,"M. Srirama Murthy, ","Drama
",1952,1952
1796,Pelli Chesi Choodu,L. V. Prasad,N. T. Rama Rao,"Social
",1952,1952
1797,Praja Seva,"K. Prabhakar Rao
",C. Lakshmi Rajyam,"Drama
",1952,1952
1798,Prema,P. S. Ramakrishna Rao,A. Nageswara Rao,"Drama
",1952,1952
1799,Priyuralu,T. Gopichand,"Lakshmikantam, ","Drama
",1952,1952
1800,Rajeswari,R. Padmanaban,"M. Srirama Murthy, ","Folklore
",1952,1952
1801,Sahasam,"Raja of Mirjapur
","Prabhakar Rao, ","Folklore
",1952,1952
1802,Sankranti,C. Pullaiah,"Chandrashekar, ","Drama
",1952,1952
1803,Santhi,Vedantam Raghavaiah,Govindarajula Subba Rao,"Drama
",1952,1952
1804,Savati Poru,T. R. Sundaram,"G. Muthukrishnan, ","Epic
",1952,1952
1805,Singari,T. R. Raghunath,T. R. Ramachandran,"Drama
",1952,1952
1806,Suvarna Mala,"K. Sadasiva Rao
","Aarani Suryanarayana, Surabhi Balasaraswathi
","Drama
",1952,1952
1807,Tingu Ranga,B. A. Subba Rao,"M. Srirama Murthy, ","Drama
",1952,1952
1808,Apeksha,"M. Natesan
",Sivaji Ganesan,"Drama
",1953,1953
1809,Amarakavi,"F. Nagoor
",M. K. Thyagaraja Bhagavathar,"Folklore
",1953,1953
1810,Ammalakkalu,D. Yoganand,N. T. Rama Rao,"Social
",1953,1953
1811,Bratuku Teruvu,P. S. Ramakrishna Rao,Akkineni Nageswara Rao,"Drama
",1953,1953
1812,Chivaruku Miguledhi Emi Unadhi,P. S. Ramakrishna Rao,A. Nageswara Rao,"Drama
",1953,1953
1813,Kitukendo Cheppave Chalaki Bullemma,P. Bhanumathi,P. Bhanumathi,"Folklore
",1953,1953
1814,Devadasu,Vedantam Raghavaiah,A. Nageswara Rao,"Romance
",1953,1953
1815,Gumastha,"R. M. Krishnaswamy
",V. Nagaiah,"Social
",1953,1953
1816,Inspector,"R. S. Mani
",S. Balachander,"Drama
",1953,1953
1817,Jaganmohini,"Dr. Shankar Singh
",Harini,"Fantasy
",1953,1953
1818,Kanna Talli,K. S. Prakash Rao,A. Nageswara Rao,"Drama
",1953,1953
1819,Kodarikam,K. Vembu,"Ramachandra Kasyap, ","Drama
",1953,1953
1820,Lakshmi,K. B. Nagabhushanam,P. Kannamba,"Drama
",1953,1953
1821,Manjari,Y. V. Rao,C. H. Narayana Rao,"Folklore
",1953,1953
1822,Naa Chellelu,Ch. Narayana Murthy,"Amarnath, ","Social
",1953,1953
1823,Naa Illu,V. Nagaiah,V. Nagaiah,"Drama
",1953,1953
1824,Okka Talli Pillalu,A. S. A. Sami,"Sriram, ","Drama
",1953,1953
1825,Pakka Inti Ammayi,C. Pullaiah,Relangi,"Comedy
",1953,1953
1826,Paradesi,L. V. Prasad,A. Nageswara Rao,"Drama
",1953,1953
1827,Paropakaram,Kamal Ghosh,G. Varalakshmi,"Drama
",1953,1953
1828,Pempudu Koduku,L. V. Prasad,Sivaji Ganesan,"Drama
",1953,1953
1829,Pichi Pullayya,T. Prakash Rao,N. T. Rama Rao,"Social
",1953,1953
1830,Prapancham,"S. L. Ramachandran
",V. Nagaiah,"Drama
",1953,1953
1831,Pratigna ,Y. R. Swamy,Kanta Rao,"Drama
",1953,1953
1832,Prema Lekhalu,Raja Nawathe,Raj Kapoor,"Romance
",1953,1953
1833,Puttillu,"Dr. Raja Rao
","Dr. Raja Rao, ","Drama
",1953,1953
1834,Rohini,Kamal Ghosh,Madhuri Devi,"Drama
",1953,1953
1835,Thandri,"M. R. S. Mani
",Prem Nazir,"Social
",1953,1953
1836,Vayyari Bhama,"P. Subba Rao
",A. Nageswara Rao,"Adventure
",1953,1953
1837,Achintya Apeksha Ratnavali,S. M. Sriramulu Naidu,N. T. Rama Rao,"Action
",1954,1954
1838,Aggi Ramudu,"S. M. Sriramulu Naidu
",P. Bhanumathi,"Swashbuckler
",1954,1954
1839,Amara Sandhesam,Adurthi Subba Rao,"Amarnath, ","Musical
",1954,1954
1840,Annadata,Vedantam Raghavaiah,A. Nageswara Rao,"Drama
",1954,1954
1841,Anta Manavalle,Tapi Chanakya,"Amarnath, ","Drama
",1954,1954
1842,Baalanandam,K. S. Prakash Rao,"Relangi Satyanarayana Babu, Kundu, Turlapati Vijaya Lakshmi, Mallika, Nidadavol Jogabai, Kanda Mohan
","Drama
",1954,1954
1843,Bangaru Bhoomi,A. T. Krishnaswamy,Anjali Devi,"Drama
",1954,1954
1844,Chakrapani,P. S. Ramakrishna Rao,A. Nageswara Rao,"Comedy
",1954,1954
1845,Chandraharam,K. Kameswara Rao,N. T. Rama Rao,"Folklore
",1954,1954
1846,Iddaru Pellalu,"F. Nagoor
",N. T. Rama Rao,"Drama
",1954,1954
1847,Jatakaphalam,R. Nagendra Rao,S. V. Ranga Rao,"Comedy
",1954,1954
1848,Jyothi,K. B. Tilak,G. Varalakshmi,"Drama
",1954,1954
1849,Kalahasti Mahatyam,"H. L. N. Simha
",Rajkumar,"Mythology
",1954,1954
1850,Maa Gopi,B. S. Ranga,V. Nagaiah,"Drama
",1954,1954
1851,Manohara,L. V. Prasad,Sivaji Ganesan,"Folklore
",1954,1954
1852,Menarikam,"Jampana
",C. H. Narayana Rao,"Drama
",1954,1954
1853,Nirupedalu,T. Prakash Rao,A. Nageswara Rao,"Drama
",1954,1954
1854,Palle Paduchu,"B. Subba Rao
",Mukkamala,"Drama
",1954,1954
1855,Parivartana,T. Prakash Rao,N. T. Rama Rao,"Drama
",1954,1954
1856,Peddamanushulu,K. V. Reddy,"Jandhyala Gaurinatha Sastri, ","Social
",1954,1954
1857,Praja Rajyam,"A. Kasilingam
",K. R. Ramasamy,"Social
",1954,1954
1858,Raji Na Pranam,"K. J. Mahadevan
",T. R. Ramachandran,"Romance
",1954,1954
1859,Raju Peda,B. A. Subba Rao,N. T. Rama Rao,"Folklore
",1954,1954
1860,Raja Guruvu,A. S. A. Sami,K. R. Ramasamy,"Folklore
",1954,1954
1861,Rechukka,P. Pullaiah,N. T. Rama Rao,"Action
",1954,1954
1862,Sangham,"M. V. Raman
",N. T. Rama Rao,"Romance
",1954,1954
1863,Sati Sakkubai,K. B. Nagabhushanam,K. Raghuramaiah,"Comedy
",1954,1954
1864,Todu Dongalu,D. Yoganand,N. T. Rama Rao,"Social
",1954,1954
1865,Vaddante Dabbu,Y. R. Swamy,N. T. Rama Rao,"Comedy
",1954,1954
1866,Vipra Narayana,P. S. Ramakrishna Rao,A. Nageswara Rao,"Devotional
",1954,1954
1867,Batasari,P. S. Ramakrishna Rao,A. Nageswara Rao,Romance,1961,1961
1868,Bava Maradallu,P. A. Padmanabha Rao,J. V. Ramana Murthy,Romance,1961,1961
1869,Bhakta Jayadeva,P. Rama Rao,A. Nageswara Rao,Biography,1961,1961
1870,Bharya Bhartalu,Kotayya Pratyagatma,Akkineni Nageshwara Rao,Drama,1961,1961
1871,Bikari Ramudu,P. Padmaraju,Kanta Rao,Folklore,1961,1961
1872,Evaru Donga,M. A. Thirumugam,Udaykumar,Drama,1961,1961
1873,Gullo Pelli,K. S. Prakash Rao,Balayya,Drama,1961,1961
1874,Iddaru Mitrulu,A. Subbarao,A. Nageswara Rao,Drama,1961,1961
1875,Indrajeet (Sati Sulochana),S. Rajinikanth,N. T. Rama Rao,,1961,1961
1876,Intiki Deepam Illale,V. N. Reddy,N. T. Rama Rao,Drama,1961,1961
1877,Jagadeka Veeruni Katha,K. V. Reddy,N. T. Rama Rao,Folklore,1961,1961
1878,Jebu Donga,P. Neelakantan,M. G. Ramachandran,Drama,1961,1961
1879,Kalasi Vunte Kaladu Sukham,Tapi Chanakya,N. T. Rama Rao,Drama,1961,1961
1880,Kanna Koduku,Krishna Rao,Jaggayya,Drama,1961,1961
1881,Kannyaka Parameswari Mahatmyam,A. S. A. Sami,Sivaji Ganesan,,1961,1961
1882,Korada Veerudu,M. Radhakrishnan,"P. S. Veerappa, Showkar Janaki, V. B. S. Mani, Tambaram Lalita, T. K. Ramachandran, Vanaja, T. S. Balaiah, Krishnabai",Fantasy,1961,1961
1883,Krishna Kuchela,P. Subramaniam,Kanta Rao,Mythology,1961,1961
1884,Krishna Prema,A. Subbarao,Balayya,Devotional,1961,1961
1885,Pelli Kaani Pillalu,C. S. Rao,Jaggayya,Drama,1961,1961
1886,Pendli Pilupu,A. V. Seshagiri Rao,N. T. Rama Rao,Drama,1961,1961
1887,Rushyasrunga,Mukkamala,Haranath,Folklore,1961,1961
1888,Sabhash Raja,P. S. Ramakrishna Rao,A. Nageswara Rao,Drama,1961,1961
1889,Santha,Manapuram Appa Rao,N. T. Rama Rao,,1961,1961
1890,Sati Sulochana,Rajanikanth Sabnavis,N. T. Rama Rao,Historical,1961,1961
1891,Seetharama Kalyanam,N. T. Rama Rao,N. T. Rama Rao,Historical,1961,1961
1892,Shanta,Manapuram Apparao,N. T. Rama Rao,Drama,1961,1961
1893,Taxi Ramudu,V. Madhusudhan Rao,N. T. Rama Rao,Drama,1961,1961
1894,Thandrulu Kodukulu,K. Hemabharadara Rao,Chalam,Drama,1961,1961
1895,Usha Parinayam,K. B. Nagabhushanam,Kanta Rao,Devotional,1961,1961
1896,Vagdanam,Aatreya,A. Nageswara Rao,Drama,1961,1961
1897,Varalakshmi Vratham,B. Vittalacharya,Kanta Rao,Devotional,1961,1961
1898,Velugu Needalu,Adurthi Subba Rao,Akkineni Nageshwara Rao,Drama,1961,1961
1899,Aathma Balam,V. Madhusudan Rao,Akkineni Nageswara Rao,Drama,1964,1964
1900,Amara Shilpi Jakkanna,B. S. Ranga,Akkineni Nageswara Rao,Biographical film,1964,1964
1901,Babruvahana,Samudrala Raghavacharya,N. T. Rama Rao,Mythological Drama,1964,1964
1902,Bangaru Thimmaraju,G.Viswanadham,Tadepalli Lakshmi Kanta Rao,,1964,1964
1903,Bobbili Yuddham,C. Seetaram,N. T. Rama Rao,Historical period drama,1964,1964
1904,Dagudu Moothalu,Adurthi Subba Rao,N. T. Rama Rao,Comedy Drama,1964,1964
1905,Desa Drohulu,Bolla Subba Rao,N. T. Rama Rao,Drama,1964,1964
1906,Doctor Chakravarty,Adurthi Subba Rao,Akkineni Nageswara Rao,Drama,1964,1964
1907,Kalavari Kodalu,K. Hemambaradhara Rao,N. T. Rama Rao,,1964,1964
1908,Manchi Manishi,Kotayya Pratyagatma,N. T. Rama Rao,Drama,1964,1964
1909,Marmayogi,B. A. Subba Rao,N. T. Rama Rao,,1964,1964
1910,Mooga Manasulu,Adurthi Subba Rao,Akkineni Nageswara Rao,,1964,1964
1911,Murali Krishna,P. Pullaiah,Akkineni Nageswara Rao,Drama,1964,1964
1912,Pativrata,Chitrapu Narayana Rao,,,1964,1964
1913,Pooja Phalam,B. N. Reddi,Akkineni Nageswara Rao,Drama,1964,1964
1914,Peetala Meeda Pelli,Ghantasala Krishnamurthy,Jaggayya,Drama,1964,1964
1915,Ramadasu,Chittor V. Nagaiah,Chittor V. Nagaiah,,1964,1964
1916,Ramudu Bheemudu,Tapi Chanakya,N. T. Rama Rao,Drama,1964,1964
1917,Sabhash Suri,I. N. Murthy,N. T. Rama Rao,,1964,1964
1918,Sri Satyanarayana Mahathyam,S. Rajinikanth,N. T. Rama Rao,,1964,1964
1919,Sri Tirupatamma Katha,B. S. Narayana,N. T. Rama Rao,,1964,1964
1920,Vaarasatwam,Tapi Chanakya,N. T. Rama Rao,,1964,1964
1921,Vivaha Bandham,P. S. Ramakrishna Rao,N. T. Rama Rao,Drama,1964,1964
1922,Aadavaallu Meeku Joharlu,K. Balachander,Jayamalini,,1981,1981
1923,Aakali Rajyam,K. Balachander,Kamal Haasan,,1981,1981
1924,Addala Meda,Dasari Narayana Rao,Mohan Babu,,1981,1981
1925,Aggi Ravva,K. Bapaiah,N. T. Rama Rao,,1981,1981
1926,Agni Poolu,K. Bapaiah,Krishnamraju,,1981,1981
1927,Alludugaru Zindabad,Subba Rao Katta,Gummadi,,1981,1981
1928,Amavasya Chandrudu,Singeetam Srinivasa Rao,Kamal Haasan,,1981,1981
1929,Antham Kadidi Aarambam,Vijaya Nirmala,Krishna,,1981,1981
1930,Asha Jyoti,T. Prakash Rao,Gummadi,,1981,1981
1931,Babulugaadi Debba,K. Vasu,Krishnam Raju,Action,1981,1981
1932,Bala Nagamma,K. Shankar,Sarath Babu,,1981,1981
1933,Bhoga Bhagyalu,P. Chandrasekhara Reddy,Gummadi,,1981,1981
1934,Bhogimanthulu,Vijaya Nirmala,Rati Agnihotri,,1981,1981
1935,Chattaniki Kallu Levu,S. A. Chandrasekhar,Chiranjeevi,,1981,1981
1936,Chinnaari Chittibaau,Gopalakrishnan,,,1981,1981
1937,Dabbu Dabbu Dabbu,Vijaya Baapineedu,Mohan Babu,,1981,1981
1938,Devudu Mamayya,K. Vasu,Shobhan Babu,,1981,1981
1939,Guru Sishyulu,K. Bapayya,ANR,,1981,1981
1940,Illalu,Rama Rao Tatineni,Shobhan Babu,,1981,1981
1941,Jeevitha Ratham,V. Madhusudan Rao,Rati Agnihotri,,1981,1981
1942,Kirayi Rowdylu,Kodanda Rami Reddy A.,Chiranjeevi,,1981,1981
1943,Kondaveeti Simham,K. Raghavendra Rao,N. T. Rama Rao,,1981,1981
1944,Maha Purushudu,P. Lakshmi Deepak,N. T. Rama Rao,,1981,1981
1945,Mudda Mandaram,Jandhyala Subramanya Sastry,Poornima,,1981,1981
1946,Nyayam Kavali,Kodanda Rami Reddy A.,Raadhika,,1981,1981
1947,O Amma Katha,Vasanta Sen,Sharada,,1981,1981
1948,Oorukichchina Maata,Balaiah M.,Chiranjeevi,,1981,1981
1949,Ooruki Monagadu,K. Raghavendra Rao,Raogopalrao,,1981,1981
1950,Pakkinti Ammayi,K. Vasu,Jayasudha,Comedy,1981,1981
1951,Parvathi Parameswarulu,M. S. Koti Reddy,Chiranjeevi,,1981,1981
1952,Patalam Pandu,,Mohan Babu,,1981,1981
1953,Prema Mandiram,Dasari Narayana Rao,Akkineni Nageshwara Rao,,1981,1981
1954,Prema Natakam,Subba Rao Katta,Sharada,,1981,1981
1955,Prema Pichchi,C. V. Rajendran,Rati Agnihotri,,1981,1981
1956,Prema Simhasanam,Dasari Narayana Rao,N. T. Rama Rao,,1981,1981
1957,Premabhishekam,Dasari Narayana Rao,Akkineni Nageshwara Rao,,1981,1981
1958,Priya,S. P. Chitti Babu,Chiranjeevi,,1981,1981
1959,Puli Bidda,V. Madhusudan Rao,Krishnam Raju,,1981,1981
1960,Radha Kalyanam,Bapu,Chandramohan,,1981,1981
1961,Ragile Jwala,K. Raghavendra Rao,Krishnam Raju,,1981,1981
1962,Amavasya Chandrudu,Singeetam Srinivasa Rao,Kamal Haasan,,1981,1981
1963,Rani Kasula Rangamma,T. L. V. Prasad,Chiranjeevi,,1981,1981
1964,Sandhya Ragam,A. S. Ramachandra Rao,Gummadi,,1981,1981
1965,Saptapadi,Kashinathuni Vishwanath,J. V. Somayajulu,,1981,1981
1966,Satyabhama,K. Raghavendra Rao,Chandramohan,,1981,1981
1967,Satyam Shivam,K. Raghavendra Rao,N. T. Rama Rao,,1981,1981
1968,Seethakoka Chilaka,Bharathiraja,Karthik,,1981,1981
1969,Siddhalingeshwara Mahima,Hunsur Krishnamurthy,,,1981,1981
1970,Srirasthu Subhamasthu,Katta Subba Rao,Chiranjeevi,,1981,1981
1971,Swapna,Dasari Narayana Rao,Swapna,,1981,1981
1972,Taxi Driver,S. P. Chitti Babu,Krishnam Raju,,1981,1981
1973,Tirugu Leni Manishi,K. Raghavendra Rao,Rati Agnihotri,,1981,1981
1974,Todu Dongalu,K. Vasu,Krishna,,1981,1981
1975,Tyagayya,Bapu,J. V. Somayajulu,,1981,1981
1976,Viswaroopam,Dasari Narayana Rao,N. T. Rama Rao,,1981,1981
1977,Pranaya Geetham,P. Sambasiva Rao,Chandra Mohan,,1981,1981
1978,Gaja Donga,K. Raghavendra Rao,N. T. Rama Rao,,1981,1981
1979,Prema Kanuka,K. Raghavendra Rao,Akkineni Nageswara Rao,,1981,1981
1980,Srivari Muchatlu,Dasari Narayana Rao,Akkineni Nageswara Rao,,1981,1981
1981,Bhakta Tulasidas,Lanka Satyam,K. Raghuramaiah,Biography,"10 April 1946
",1946
1982,Griha Pravesam,L. V. Prasad,L. V. Prasad,Drama,"10 October 1946
",1946
1983,Mangalasutram,D. N. Kotnis,"K. Prabhakar Rao, ",Drama,"12 December 1946
",1946
1984,Mugguru Maratilu,Ghantasala Balaramayya,A. Nageswara Rao,Historical,"31 May 1946
",1946
1985,Narada Naradhi,C. Pullaiah,Mudigonda Lingamurthy,Mythology,"6 April 1946
",1946
1986,Returning Soldier,,,,"
",1946
1987,Sethu Bandhanam,R. Padmanabhan,"M. Ramana Rao, ",Epic,"
",1946
1988,Tyagayya,Chittor V. Nagaiah,Chittor V. Nagaiah,Biography,"1 November 1946
",1946
1989,Vanarani,A. Surya,G. Varalakshmi,Folklore,"
",1946
1990,Brahma Ratham,Ch. Narayana Murthy,K. Raghuramaiah,"Mythology
","29 October 1947
",1947
1991,Gollabhama,C. Pullaiah,K. Raghuramaiah,"Folklore
","22 February 1947
",1947
1992,Palnati Yuddham,"Saradhi Films
",Govindarajula Subba Rao,"Historical
","24 September 1947
",1947
1993,Radhika,"Sri Chatrapathi Pictures
",K. Raghuramaiah,"Mythology
","20 February 1947
",1947
1994,Varudhini,"B. V. Ramanandam
",S. V. Ranga Rao,"Mythology
","11 January 1947
",1947
1995,Yogi Vemana,K. V. Reddy,Chittor V. Nagaiah,"Biopic
","10 April 1947
",1947
1996,Balaraju,Ghantasala Balaramayya,A. Nageswara Rao,"Folklore
","26 February 1948
",1948
1997,Bhakta Sriyala,"G. Ramakrishna Rao
",C. S. R. Anjaneyulu,"Devotional
","30 June 1948
",1948
1998,Drohi,L. V. Prasad,C. Lakshmi Rajyam,"Drama
","10 December 1948
",1948
1999,Geetanjali,"T. Hanumantha Rao
","Jandhyala Gaurinatha Sastry, ","Drama
","5 March 1948
",1948
2000,Madalasa,Ch. Narayana Murthy,K. Raghuramaiah,"Mythology
","29 May 1948
",1948
2001,Ratnamala,Bharani Pictures,P. Bhanumathi,C. R. Subburaman,"2 January 1948
",1948
2002,Suvarnamala,"K. Sadasiva Rao
",R. Balasaraswathi,"Drama
","15 August 1948
",1948
2003,Vindhyarani,C. Pullaiah,"Ramana Rao, ","Mythology
","14 January 1948
",1948
2004,Abhisyanta Kalapam,"H. V. Babu
","
","
","
",1949
2005,Apna Desh,V. Shantaram,"Pushpa Hans, Umesh Sharma, ","Social
","17 July 1949
",1949
2006,Dharmangadha,"H. V. Babu
",Govindarajula Subba Rao,"Drama
","1 October 1949
",1949
2007,Gunasundari Katha,K. V. Reddy,Govindarajula Subba Rao,"Folklore
","28 December 1949
",1949
2008,Keelu Gurram,"Raja of Mirzapur
",A. Nageswara Rao,"Folklore
","19 February 1949
",1949
2009,Laila Majnu,P. S. Ramakrishna Rao,A. Nageswara Rao,"Romance
","1 October 1949
",1949
2010,Mana Desam,L. V. Prasad,Chittor V. Nagaiah,"Social
","24 November 1949
",1949
2011,Raksha Rekha,"R. Padmanabhan
",A. Nageswara Rao,"Folklore
","30 April 1949
",1949
2012,Aahuti,"Naveena Films
",Aarani Satyanarayana,"Drama
","22 June 1950
",1950
2013,Adhrusta Deepudu,"T. N. T. Productions
",Suryakumari,"Drama
","27 October 1950
",1950
2014,Apoorva Sahodarulu,Gemini Studios,M. K. Radha,"Action
","14 January 1950
",1950
2015,Beedala Patlu,Pakshiraja Studios,V. Nagaiah,"Social
","9 December 1950
",1950
2016,Jeevitham,AVM Productions,Vyjayanthimala,"Drama
","14 July 1950
",1950
2017,Lakshmamma,"Sobhanachala & M. R. A. Productions
",C. H. Narayana Rao,"Folklore
","26 February 1950
",1950
2018,Maaya Rambha,"N. B. Productions
",Anjali Devi,"Folklore
","22 September 1950
",1950
2019,Modhati Rathri,Prakash Productions,G. Varalakshmi,"Drama
","9 June 1950
",1950
2020,Palletoori Pilla,"Sobhanachala & B. A. S. Productions
",A. Nageswara Rao,"Folklore
","27 April 1950
",1950
2021,Paramanandayya Sishyulu,"Allied productions
",A. Nageswara Rao,"Comedy
","6 October 1950
",1950
2022,Raja Vikrama,"Kempraj Productions
",S. Rajam,"Folklore
","
",1950
2023,Shavukaru,Vijaya Productions,N. T. Rama Rao,"Social
","7 April 1950
",1950
2024,Samsaram,"Sadhana Productions
",A. Nageswara Rao,"Social
","29 December 1950
",1950
2025,Sri Lakshmamma Katha,"Prathibha Productions
",A. Nageswara Rao,"Folklore
","26 February 1950
",1950
2026,Sri Saibaba,"Unity Pictures
","Mannava Ramachandra Rao, Adhanki Srirama Murthy, Hemalatha, ","Devotional
","21 December 1950
",1950
2027,Swapna Sundari,"Prathibha Productions
",A. Nageswara Rao,"Fantasy
","9 November 1950
",1950
2028,Thirugubatu,"Ragini Films
",C. H. Narayana Rao,"Social
","19 March 1950
",1950
2029,Vaali – Sugreeva,"Asoka Movies
",C. S. R. Anjaneyulu,"Devotional
","19 January 1950
",1950
2030,Anantha Ragalu,"Prabhakar (Story/Screenplay/Direction) Dialogues: Kompella Viswam
","Prabhakar, Subhakar, Mohan Rao, Subrahmanyam, Bhanupriya, Rajyalakshmi, Purnima, Rohini
","College Romantic
","3 December 1982
",1982
2031,Andagaadu,"T. N. Balu
",Kamal Haasan,,"6 February 1982
",1982
2032,Amara Geetham,R. Sundarrajan,Mohan,"
","3 September 1982
",1982
2033,Anuraga Devatha,"Tatineni Rama Rao
",N. T. Rama Rao,Romance,"9 January 1982
",1982
2034,Aththaku Thagga Allullu,Rama Narayanan,"Vijayasanthi, Radha, Suresh, Murali, Raja Sulochana,
","Comedy/Romance
","7 October 1982
",1982
2035,Bandhalu Anubandhalu,"Bhargav
","Sobhan Babu, Lakshmi, Chiranjeevi, Jaggaiah, Mada, Padmanabham, Pandari Bai
","Drama
","26 November 1982
",1982
2036,Bangaru Bhoomi,"P. Chandrashekar Reddy (Story/Screenplay/Direction)
","Krishna Gattamaneni, Sridevi
",,"14 January 1982
",1982
2037,Bangaru Kanuka,"V. Madhusudhan Rao
",Akkineni Nageswara Rao,Romance,"
",1982
2038,Bangaru Koduku,"
",,,"
",1982
2039,Bhakta Dhruvamarkandeya,"Bhanumathi Ramakrishna (Story/Screenplay/Dialogues/Direction/ Musical Supervision)
","Sobhana, Vamsikrishna, Hari, Ravisankar, Rohini, Rani, Rajasyamala, Babu, Suresh etc.
","Devotional (U) Kids movie
","19 November 1982
",1982
2040,Bhakta Gnanadeva,"Hunsur Krishnamurthy
",Jayanthi,"Devotional (U)
","25 December 1982
",1982
2041,Bhale Kapuram,"
",,,"
",1982
