,Title,Director,Cast,Genre,Date,Year
195,Nagula Chavithi,Chitrapu Narayana Rao,Sowkar Janaki,"Fantasy, Musical",,1956
196,Penki Pellam,Kamalakara Kameswara Rao,N. T. Rama Rao,"Drama, Comedy",,1956
197,Rakta Kanneru,"Krishnan - Panju",M. R. Radha,"",,1956
198,Sadarama,K. R. Seetarama Sastri,Akkineni Nageswara Rao,Folklore,,1956
199,Sahasa Veerudu,D. Yoganand,M. G. Ramachandran,"",,1956
200,Sonta Ooru,E. S. N. Murthy,N. T. Rama Rao,Drama,,1956
201,Sri Gauri Mahatyam,D. Yoganand,N. T. Rama Rao,Folklore,,1956
202,Tenali Ramakrishna,B. S. Ranga,Akkineni Nageswara Rao,"Historical, Comedy",,1956
203,Uma Sundari,P. Pullaiah,N. T. Rama Rao,Drama,,1956
204,Vidhi Vilasamu,"Ch. Narayana Murthy",Sivaji Ganesan,"",,1956
205,Akka Chellelu,Amanullah Sarvabhouma,"Amarnath, ",Drama,,1957
206,Allauddin Adhbhuta Deepam,T. R. Raghunath,Akkineni Nageswara Rao,Folklore,,1957
207,Bhagya Rekha,B. N. Reddy,N. T. Rama Rao,Drama,,1957
208,Bhale Ammayilu,Vedantam Raghavaiah,N.T.Rama Rao,Drama,,1957
209,Bhale Baava,Rajanikanth,Jaggayya,Comedy Drama,,1957
210,Dhampathyam,E. Apparao,G. Varalakshmi,Comedy Drama,,1957
211,Dongallo Dora,P. Chengaiah,Akkineni Nageswara Rao,Drama,,1957
212,Evari Abbayi,T. R. Raghunath,Gemini Ganesan,"",,1957
213,Gandharva Kanya,"D. Shankar Singh","Indhu Shekar, Revathi, Harini, Relangi, Raja Sulochana, etc.","",,1957
214,Kutumba Gowravam,B. S. Ranga,N. T. Rama Rao,Drama,,1957
215,M.L.A.,K. B. Tilak,Jaggayya,Socio Political,,1957
216,Mayabazar,K. V. Reddy,N. T. Rama Rao,Mythology,,1957
217,Nala Damayanthi,Kemparaj,P. Bhanumathi,Mythology,,1957
218,Panduranga Mahatyam,Kamalakara Kameswara Rao,N. T. Rama Rao,Devotional,,1957
219,Parasakthi,"Krishnan Panju",Sivaji Ganesan,"",,1957
220,Peddarikalu,Tapi Chanakya,Jaggayya,Drama,,1957
221,Preme Daivam,R. Nagendra Rao,R. Nagendra Rao,Drama,,1957
222,Rajaputhri Rahasyamu,P. Neelakantan,M. G. Ramachandran,"",,1957
223,Rani Rangamma,"T. R. Raghunath",Gemini Ganesan,"",,1957
224,Ratnagiri Rahasyam,B. R. Panthulu,Sivaji Ganesan,"",,1957
225,Repu Needhe,K. Bhaskar Rao,S. V. Ranga Rao,Drama,,1957
226,Sankalpam,C. V. Ranganatha Das,N. T. Rama Rao,Drama,,1957
227,Sarangadhara,V. S. Raghavan,N. T. Rama Rao,Folklore,,1957
228,Sati Anasuya,K. B. Nagabhushanam,N. T. Rama Rao,Folklore,,1957
229,Sati Savitri,K. B. Nagabhushanam,Akkineni Nageswara Rao,Folklore,,1957
230,Suvarna Sundari,Vedantam Raghavaiah,Akkineni Nageswara Rao,Folklore,,1957
231,Swayamprabha,Sobhanadri Rao,"Amarnath, ",Folklore,,1957
232,Thalavanchani Veerudu,P. Pullaiah,Sivaji Ganesan,"",,1957
233,Thodi Kodallu,Adurthi Subba Rao,Akkineni Nageswara Rao,Drama,,1957
234,Town Bus,"K. Somu",N. N. Kannappa,"",,1957
235,Vadhante Dabbu,Y. R. Swamy,N. T. Rama Rao,Drama,,1957
236,Varudu Kavali,P. S. Ramakrishna Rao,P. Bhanumathi,Comedy Drama,,1957
237,Veera Kankanam,G. R. Rao,N. T. Rama Rao,Mythology,,1957
238,Vegu Chukka,"T. R. Raghunath",Vyjayanthimala,"",,1957
239,Vinayaka Chaviti,Samudrala,N. T. Rama Rao,Devotional,,1957
240,Aada Pettanam,Adurthi Subba Rao,A. Nageswara Rao,Romance,,1958
241,Anna Thammudu,C. S. Rao,N. T. Rama Rao,Drama,,1958
242,Atha Okinti Kodale,K. B. Tilak,Jaggayya,Drama,,1958
243,Badi Panthulu,B. R. Panthulu,B. R. Panthulu,Drama,,1958
244,Bhookailas,K. Shankar,N. T. Rama Rao,Mythology,,1958
245,Bhuloka Ramba,D. Yoganand,Gemini Ganesan,Folklore,,1958
246,Bommala Pelli,R. M. Krishnaswamy,Sivaji Ganesan,Romantic Comedy,,1958
247,Chenchu Lakshmi,B. A. Subba Rao,A. Nageswara Rao,Mythology,,1958
248,Dongalunnaru Jagratha,B. N. Reddy,Jaggayya,Drama,,1958
249,Etthuku Pai Etthu,Tapi Chanakya,Gummadi,Social,,1958
250,Ganga Gouri Samvadam,V. N. Reddy,Kanta Rao,Mythology,,1958
251,Inti Guttu,Vedantam Raghavaiah,N. T. Rama Rao,Family Drama,,1958
252,Karthavarayuni Katha,T. R. Ramanna,N. T. Rama Rao,Mythology,,1958
253,Kondaveeti Donga,M. A. Thirumugam,Ranjan,"",,1958
